HRR,Time_Period,Total_Hospital_Beds,Available_Hospital_Beds,Hospital_Beds_Needed,Total_ICU_Beds,Available_ICU_Beds,ICU_Beds_Needed,Bed_Occupancy_Rate,ICU_Occupancy_Rate
"Cape Girardeau, MO",12 Months,859,398,286,80,43,62,33.29452852,77.5
"Cape Girardeau, MO",18 Months,859,398,186,80,43,41,21.65308498,51.25
"Casper, WY",6 Months,633,378,428,32,20,93,67.61453397,290.625
"Casper, WY",12 Months,633,378,214,32,20,46,33.80726698,143.75
"Casper, WY",18 Months,633,378,139,32,20,30,21.95892575,93.75
"Cedar Rapids, IA",6 Months,799,364,656,44,22,142,82.10262829,322.7272727
"Cedar Rapids, IA",12 Months,799,364,328,44,22,71,41.05131414,161.3636364
"Cedar Rapids, IA",18 Months,799,364,214,44,22,46,26.78347935,104.5454545
"Charleston, SC",6 Months,3013,975,2565,329,101,558,85.13109857,169.6048632
"Charleston, SC",12 Months,3013,975,1283,329,101,279,42.58214404,84.80243161
"Charleston, SC",18 Months,3013,975,836,329,101,182,27.74643213,55.31914894
"Charleston, WV",6 Months,2620,1167,1844,284,97,407,70.38167939,143.3098592
"Charleston, WV",12 Months,2620,1167,922,284,97,203,35.19083969,71.47887324
"Charleston, WV",18 Months,2620,1167,601,284,97,133,22.9389313,46.83098592
"Charlotte, NC",6 Months,4873,1465,5576,770,249,1187,114.4264314,154.1558442
"Charlotte, NC",12 Months,4873,1465,2788,770,249,594,57.21321568,77.14285714
"Charlotte, NC",18 Months,4873,1465,1818,770,249,387,37.30761338,50.25974026
"Charlottesville, VA",6 Months,1326,433,1338,155,35,291,100.9049774,187.7419355
"Charlottesville, VA",12 Months,1326,433,669,155,35,145,50.45248869,93.5483871
"Charlottesville, VA",18 Months,1326,433,436,155,35,95,32.88084465,61.29032258
"Chattanooga, TN",6 Months,1928,651,1591,247,59,346,82.52074689,140.0809717
"Chattanooga, TN",12 Months,1928,651,796,247,59,173,41.28630705,70.04048583
"Chattanooga, TN",18 Months,1928,651,519,247,59,113,26.91908714,45.74898785
"Chicago, IL",6 Months,7764,3161,5569,912,312,1169,71.72849047,128.1798246
"Chicago, IL",12 Months,7764,3161,2784,912,312,584,35.85780526,64.03508772
"Chicago, IL",18 Months,7764,3161,1816,912,312,381,23.39000515,41.77631579
"Chico, CA",6 Months,537,153,676,51,23,148,125.8845438,290.1960784
"Chico, CA",12 Months,537,153,338,51,23,74,62.94227188,145.0980392
"Chico, CA",18 Months,537,153,220,51,23,48,40.96834264,94.11764706
"Cincinnati, OH",6 Months,3808,1537,3588,567,185,770,94.22268908,135.8024691
"Cincinnati, OH",12 Months,3808,1537,1794,567,185,385,47.11134454,67.90123457
"Cincinnati, OH",18 Months,3808,1537,1170,567,185,251,30.72478992,44.2680776
"Clearwater, FL",6 Months,1571,719,1268,160,44,288,80.71292171,180
"Clearwater, FL",12 Months,1571,719,634,160,44,144,40.35646085,90
"Clearwater, FL",18 Months,1571,719,414,160,44,94,26.35264163,58.75
"Cleveland, OH",6 Months,7233,2631,4509,885,306,984,62.33927831,111.1864407
"Cleveland, OH",12 Months,7233,2631,2254,885,306,492,31.16272639,55.59322034
"Cleveland, OH",18 Months,7233,2631,1470,885,306,321,20.32351721,36.27118644
"Colorado Springs, CO",6 Months,1295,555,1858,149,62,396,143.4749035,265.7718121
"Colorado Springs, CO",12 Months,1295,555,929,149,62,198,71.73745174,132.885906
"Colorado Springs, CO",18 Months,1295,555,606,149,62,129,46.7953668,86.57718121
"Columbia, MO",6 Months,1883,901,1560,199,77,338,82.84652151,169.8492462
"Columbia, MO",12 Months,1883,901,780,199,77,169,41.42326075,84.92462312
"Columbia, MO",18 Months,1883,901,509,199,77,110,27.03133298,55.27638191
"Columbia, SC",6 Months,3026,1053,2712,398,151,584,89.62326504,146.7336683
"Columbia, SC",12 Months,3026,1053,1356,398,151,292,44.81163252,73.36683417
"Columbia, SC",18 Months,3026,1053,884,398,151,190,29.21348315,47.73869347
"Columbus, GA",6 Months,1105,547,772,75,33,164,69.86425339,218.6666667
"Columbus, GA",12 Months,1105,547,386,75,33,82,34.9321267,109.3333333
"Columbus, GA",18 Months,1105,547,252,75,33,54,22.80542986,72
"Columbus, OH",6 Months,6449,2792,6653,679,235,1423,103.1632811,209.5729013
"Columbus, OH",12 Months,6449,2792,3327,679,235,712,51.5893937,104.8600884
"Columbus, OH",18 Months,6449,2792,2170,679,235,464,33.64862769,68.33578792
"Contra Costa County, CA",6 Months,1727,675,2341,203,81,502,135.552982,247.2906404
"Contra Costa County, CA",12 Months,1727,675,1171,203,81,251,67.80544296,123.6453202
"Contra Costa County, CA",18 Months,1727,675,763,203,81,164,44.1806601,80.78817734
"Corpus Christi, TX",6 Months,1135,357,1220,167,38,262,107.4889868,156.8862275
"Corpus Christi, TX",12 Months,1135,357,610,167,38,131,53.74449339,78.44311377
"Corpus Christi, TX",18 Months,1135,357,398,167,38,85,35.0660793,50.89820359
"Covington, KY",6 Months,828,280,901,93,39,192,108.8164251,206.4516129
"Covington, KY",12 Months,828,280,450,93,39,96,54.34782609,103.2258065
"Covington, KY",18 Months,828,280,294,93,39,63,35.50724638,67.74193548
"Dallas, TX",6 Months,10585,3679,10666,1292,450,2237,100.7652338,173.1424149
"Dallas, TX",12 Months,10585,3679,5333,1292,450,1119,50.38261691,86.60990712
"Dallas, TX",18 Months,10585,3679,3478,1292,450,729,32.85781767,56.42414861
"Danville, PA",6 Months,1664,510,1346,171,33,292,80.88942308,170.7602339
